User,CARD INDEX,Card Brand,Card Type,Card Number,Expires,CVV,Has Chip,Cards Issued,Credit Limit,Acct Open Date,Year PIN last Changed,Card on Dark Web
0,0,Visa,Debit,4344676511950440,Dec-22,623,YES,2,"$24,295.00",Sep-02,2008,No
0,1,Visa,Debit,4956965974959980,Dec-20,393,YES,2,"$21,968.00",Apr-14,2014,No
0,2,Visa,Debit,4582313478255490,Feb-24,719,YES,2,"$46,414.00",Jul-03,2004,No
0,3,Visa,Credit,4879494103069050,Aug-24,693,NO,1,"$12,400.00",Jan-03,2012,No
0,4,Mastercard,Debit (Prepaid),5722874738736010,Mar-09,075,YES,1,$28.00,Sep-08,2009,No
1,0,Visa,Credit,4404898874682990,Sep-03,736,YES,1,"$27,500.00",Sep-03,2012,No
1,1,Visa,Debit,4001482973848630,Jul-22,972,YES,2,"$28,508.00",Feb-11,2011,No
1,2,Mastercard,Debit,5627220683410940,Jun-22,048,YES,2,"$9,022.00",Jul-03,2015,No
1,3,Mastercard,Debit (Prepaid),5711382187309320,Nov-20,722,YES,2,$54.00,Jun-10,2015,No
1,4,Mastercard,Debit (Prepaid),5766121508358700,Feb-23,908,YES,1,$99.00,Jul-06,2012,No
2,0,Mastercard,Debit,5495199163052050,Mar-22,677,YES,2,"$31,599.00",Oct-09,2009,No
2,1,Mastercard,Debit,5804499644308590,Jul-23,258,NO,2,"$27,480.00",Mar-02,2008,No
2,2,Mastercard,Debit,5766352389579830,Feb-20,992,YES,1,"$26,743.00",Mar-19,2019,No
2,3,Visa,Debit,4242015583697290,Jun-20,928,YES,1,"$31,463.00",Apr-14,2014,No
2,4,Mastercard,Debit,5191030913182490,Jun-24,360,YES,1,"$16,055.00",Sep-09,2009,No
3,0,Visa,Credit,4017261190134810,May-15,877,YES,2,"$98,100.00",Jan-11,2011,No
3,1,Mastercard,Debit (Prepaid),5581970288727990,Jun-20,448,YES,1,$62.00,Feb-07,2007,No
3,2,Visa,Debit,4032240655674500,Jun-22,053,YES,1,"$132,439.00",Nov-10,2011,No
