User,Person,Current Age,Retirement Age,Birth Year,Birth Month,Gender,Address,City,State,Zipcode,Latitude,Longitude,Per Capita Income - Zipcode,Yearly Income - Person,Total Debt,FICO Score,Num Credit Cards,CARD INDEX,Cards Issued,Card Type,Card Number,Expires,`CVV,Has Chip,Credit Limit,Acct Open Date,Year PIN last Changed,Card on Dark Web
0,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,La Verne,CA,91750,34.15,-117.76,"$29,278.00 ","$59,696.00 ","$127,613.00 ",787,5,0,2,Debit,`4344676511950440,22-Dec,`623,YES,"$24,295.00 ",2-Sep,2008,No
0,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,La Verne,CA,91750,34.15,-117.76,"$29,278.00 ","$59,696.00 ","$127,613.00 ",787,5,1,2,Debit,`4956965974959980,20-Dec,`393,YES,"$21,968.00 ",14-Apr,2014,No
0,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,La Verne,CA,91750,34.15,-117.76,"$29,278.00 ","$59,696.00 ","$127,613.00 ",787,5,2,2,Debit,`4582313478255490,24-Feb,`719,YES,"$46,414.00 ",3-Jul,2004,No
0,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,La Verne,CA,91750,34.15,-117.76,"$29,278.00 ","$59,696.00 ","$127,613.00 ",787,5,3,1,Credit,`4879494103069050,24-Aug,`693,NO,"$12,400.00 ",3-Jan,2012,No
0,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,La Verne,CA,91750,34.15,-117.76,"$29,278.00 ","$59,696.00 ","$127,613.00 ",787,5,4,1,Debit (Prepaid),`5722874738736010,9-Mar,`075,YES,$28.00 ,8-Sep,2009,No
1,Sasha Sadr,53,68,1966,12,Female,3606 Federal Boulevard,Little Neck,NY,11363,40.76,-73.74,"$37,891.00 ","$77,254.00 ","$191,349.00 ",701,5,0,1,Credit,`4404898874682990,3-Sep,`736,YES,"$27,500.00 ",3-Sep,2012,No
1,Sasha Sadr,53,68,1966,12,Female,3606 Federal Boulevard,Little Neck,NY,11363,40.76,-73.74,"$37,891.00 ","$77,254.00 ","$191,349.00 ",701,5,1,2,Debit,`4001482973848630,22-Jul,`972,YES,"$28,508.00 ",11-Feb,2011,No
1,Sasha Sadr,53,68,1966,12,Female,3606 Federal Boulevard,Little Neck,NY,11363,40.76,-73.74,"$37,891.00 ","$77,254.00 ","$191,349.00 ",701,5,2,2,Debit,`5627220683410940,22-Jun,`048,YES,"$9,022.00 ",3-Jul,2015,No
1,Sasha Sadr,53,68,1966,12,Female,3606 Federal Boulevard,Little Neck,NY,11363,40.76,-73.74,"$37,891.00 ","$77,254.00 ","$191,349.00 ",701,5,3,2,Debit (Prepaid),`5711382187309320,20-Nov,`722,YES,$54.00 ,10-Jun,2015,No
1,Sasha Sadr,53,68,1966,12,Female,3606 Federal Boulevard,Little Neck,NY,11363,40.76,-73.74,"$37,891.00 ","$77,254.00 ","$191,349.00 ",701,5,4,1,Debit (Prepaid),`5766121508358700,23-Feb,`908,YES,$99.00 ,6-Jul,2012,No
2,Saanvi Lee,81,67,1938,11,Female,766 Third Drive,West Covina,CA,91792,34.02,-117.89,"$22,681.00 ","$33,483.00 ",$196.00 ,698,5,0,2,Debit,`5495199163052050,22-Mar,`677,YES,"$31,599.00 ",9-Oct,2009,No
2,Saanvi Lee,81,67,1938,11,Female,766 Third Drive,West Covina,CA,91792,34.02,-117.89,"$22,681.00 ","$33,483.00 ",$196.00 ,698,5,1,2,Debit,`5804499644308590,23-Jul,`258,NO,"$27,480.00 ",2-Mar,2008,No
2,Saanvi Lee,81,67,1938,11,Female,766 Third Drive,West Covina,CA,91792,34.02,-117.89,"$22,681.00 ","$33,483.00 ",$196.00 ,698,5,2,1,Debit,`5766352389579830,20-Feb,`992,YES,"$26,743.00 ",19-Mar,2019,No
2,Saanvi Lee,81,67,1938,11,Female,766 Third Drive,West Covina,CA,91792,34.02,-117.89,"$22,681.00 ","$33,483.00 ",$196.00 ,698,5,3,1,Debit,`4242015583697290,20-Jun,`928,YES,"$31,463.00 ",14-Apr,2014,No
2,Saanvi Lee,81,67,1938,11,Female,766 Third Drive,West Covina,CA,91792,34.02,-117.89,"$22,681.00 ","$33,483.00 ",$196.00 ,698,5,4,1,Debit,`5191030913182490,24-Jun,`360,YES,"$16,055.00 ",9-Sep,2009,No
3,Everlee Clark,63,63,1957,1,Female,3 Madison Street,New York,NY,10069,40.71,-73.99,"$163,145.00 ","$249,925.00 ","$202,328.00 ",722,4,0,2,Credit,`4017261190134810,15-May,`877,YES,"$98,100.00 ",11-Jan,2011,No
3,Everlee Clark,63,63,1957,1,Female,3 Madison Street,New York,NY,10069,40.71,-73.99,"$163,145.00 ","$249,925.00 ","$202,328.00 ",722,4,1,1,Debit (Prepaid),`5581970288727990,20-Jun,`448,YES,$62.00 ,7-Feb,2007,No
